 0 78 -100
 0 83 -100
 0 88 -100
 0 93 -100
 0 98 -100
 0 103 -100
 0 108 -100
 0 113 -100
 0 118 -100
 0 123 -100
 0 128 -100
 0 133 -100
 0 138 -100
 0 143 -100
 0 148 -100

 5 78 -100
 5 83 -100
 5 88 -100
 5 93 -100
 5 98 -100
 5 103 -100
 5 108 -100
 5 113 -100
 5 118 -100
 5 123 -100
 5 128 -100
 5 133 -100
 5 138 -100
 5 143 -100
 5 148 -100

 10 78 -100
 10 83 -100
 10 88 -100
 10 93 -100
 10 98 -100
 10 103 -100
 10 108 -100
 10 113 -100
 10 118 -100
 10 123 -100
 10 128 -100
 10 133 -100
 10 138 -100
 10 143 -100
 10 148 -100

 15 78 -100
 15 83 -100
 15 88 -100
 15 93 -100
 15 98 -100
 15 103 -100
 15 108 -100
 15 113 -100
 15 118 -100
 15 123 -100
 15 128 -100
 15 133 -100
 15 138 -100
 15 143 -100
 15 148 -100

 20 78 -100
 20 83 -100
 20 88 -100
 20 93 -100
 20 98 -100
 20 103 -100
 20 108 -100
 20 113 -100
 20 118 -100
 20 123 -100
 20 128 -100
 20 133 -100
 20 138 -100
 20 143 -100
 20 148 -100

 25 78 -100
 25 83 -100
 25 88 -100
 25 93 -100
 25 98 -100
 25 103 -100
 25 108 -100
 25 113 -100
 25 118 -100
 25 123 -100
 25 128 -100
 25 133 -100
 25 138 -100
 25 143 -100
 25 148 -100

 30 78 -100
 30 83 -100
 30 88 -100
 30 93 -100
 30 98 -100
 30 103 -100
 30 108 -100
 30 113 -100
 30 118 -100
 30 123 -100
 30 128 -100
 30 133 -100
 30 138 -100
 30 143 -100
 30 148 -100

 35 78 -100
 35 83 -100
 35 88 -100
 35 93 -100
 35 98 -100
 35 103 -100
 35 108 -100
 35 113 -100
 35 118 -100
 35 123 -100
 35 128 -100
 35 133 -100
 35 138 -100
 35 143 -100
 35 148 -100

 40 78 -100
 40 83 -100
 40 88 -100
 40 93 -100
 40 98 -100
 40 103 -100
 40 108 -100
 40 113 -100
 40 118 -100
 40 123 -100
 40 128 -100
 40 133 -100
 40 138 -100
 40 143 -100
 40 148 -100

 45 78 -100
 45 83 -100
 45 88 -100
 45 93 -100
 45 98 -100
 45 103 -100
 45 108 -100
 45 113 -100
 45 118 -100
 45 123 -100
 45 128 -100
 45 133 -100
 45 138 -100
 45 143 -100
 45 148 -100

 50 78 -100
 50 83 -100
 50 88 -100
 50 93 -100
 50 98 -100
 50 103 -100
 50 108 -100
 50 113 -100
 50 118 -100
 50 123 -100
 50 128 -100
 50 133 -100
 50 138 -100
 50 143 -100
 50 148 -100

 55 78 -100
 55 83 -100
 55 88 -100
 55 93 -100
 55 98 -100
 55 103 -100
 55 108 -100
 55 113 -100
 55 118 -100
 55 123 -100
 55 128 -100
 55 133 -100
 55 138 -100
 55 143 -100
 55 148 -100

 60 78 -100
 60 83 -100
 60 88 -100
 60 93 -100
 60 98 -100
 60 103 -100
 60 108 -100
 60 113 -100
 60 118 -100
 60 123 -100
 60 128 -100
 60 133 -100
 60 138 -100
 60 143 -100
 60 148 -100

 65 78 -100
 65 83 -100
 65 88 -100
 65 93 -100
 65 98 -100
 65 103 -100
 65 108 -100
 65 113 -100
 65 118 -100
 65 123 -100
 65 128 -100
 65 133 -100
 65 138 -100
 65 143 -100
 65 148 -100

 70 78 -100
 70 83 -100
 70 88 -100
 70 93 -100
 70 98 -100
 70 103 -100
 70 108 -100
 70 113 -100
 70 118 -100
 70 123 -100
 70 128 -100
 70 133 -100
 70 138 -100
 70 143 -100
 70 148 -100


 0 78 1
 0 83 -1
 0 88 1
 0 93 -1
 0 98 1
 0 103 -1
 0 108 1
 0 113 -1
 0 118 1
 0 123 -1
 0 128 1
 0 133 -1
 0 138 1
 0 143 -1
 0 148 1

 5 78 1
 5 83 -1
 5 88 1
 5 93 -1
 5 98 1
 5 103 -1
 5 108 1
 5 113 -1
 5 118 1
 5 123 -1
 5 128 1
